Item_Artifact_Kill_ExpFrozen,击杀冻结,Freeze on Kill,Bekukan saat Bunuh,Congelar ao Abater,Заморозка при убийстве,擊殺凍結
Item_Artifact_Kill_Recover,击杀恢复,Heal on Kill,Sembuhkan saat Bunuh,Curar ao Abater,Исцеление при убийстве,擊殺恢復
Item_Artifact_Attack_Fire,火焰之刃,Fire Blade,Parang Api,Lâmina de Fogo,Огненный клинок,火焰之刃
Item_Artifact_Attack_Blood,嗜血刀刃,Bloodthirsty Blade,Parang Haus Darah,Lâmina Sanguinária,Кровожадный клинок,嗜血刀刃
Item_Artifact_Attack_Ice,寒冰之刃,Ice Blade,Parang Es,Lâmina de Gelo,Ледяной клинок,寒冰之刃
Item_Artifact_Attack_FireFly,萤火之刃,Firefly Blade,Parang Kunang-kunang,Lâmina de Vaga-lumes,Клинок светлячков,螢火之刃
Item_Artifact_Attack_Thunder,闪电之刃,Lightning Blade,Parang Petir,Lâmina de Relâmpagos,Клинок молний,閃電之刃
Item_Artifact_Attack_Curse,诅咒之刃,Curse Blade,Parang Kutukan,Lâmina de Maldição,Проклятый клинок,詛咒之刃
Item_Artifact_Attack_Wave,风刃之刃,Wind Blade,Parang Angin,Lâmina de Vento,Клинок ветра,風刃之刃
Item_Artifact_Beam_ThunderBeam,轰雷之刃,Thunderbolt Blade,Parang Guntur,Lâmina de Raios,Клинок грома,轟雷之刃
Item_Artifact_Beam_FireBeam,火凤之刃,Fire Phoenix Blade,Parang Phoenix Api,Lâmina de Fênix de Fogo,Клинок огненного феникса,火鳳之刃
Item_Artifact_Beam_IceBeam,龙卷之刃,Tornado Blade,Parang Tornado,Lâmina de Tornado,Клинок торнадо,龍卷之刃
Item_Artifact_Evade_Thunder,位移雷电,Lightning on Moving,Petir saat Bergerak,Relâmpago ao Mover-se,Молнии при движении,位移雷電
Item_Artifact_Evade_FireFly,位移萤火,Fireflies on Moving,Kunang-kunang saat Bergerak,Vaga-lumes ao Mover-se,Светлячки при движении,位移螢火
Item_Artifact_Evade_Freeze,位移冰冻,Freeze on Moving,Bekukan saat Bergerak,Congelar ao Mover-se,Заморозка при движении,位移冰凍
Item_Artifact_AttackCrit_Bleeding,暴击出血,Bleed on Crit,Berdarah saat Crit,Sangrar em Crít,Кровотечение при крит. ударе,暴擊出血
Item_Artifact_AttackCrit_DamageUp,暴击伤害,DMG Up on Crit,DMG Naik saat Crit,Aumento de DANO em Crít,Рост урона при крит. ударе,暴擊傷害
Item_Artifact_AttackCrit_RefreshCD,暴击冷却,CD Reduction on Crit,Pengurangan CD saat Crit,Redução de Recarga em Crít,Ускор. восстан. при крит. ударе,暴擊冷卻
Item_Attributes_Attack,攻击提升,ATK Boost,Boost ATK,Aumento de ATQ,Бонус к атаке,攻擊提升
Item_Attributes_AttackSpeed,攻速提升,ATK Speed Boost,Boost Kecepatan ATK,Aumento de Velocidade de ATQ,Бонус к скорости атаки,攻速提升
Item_Attributes_MoveSpeed,移速提升,Movement Speed Boost,Boost Kecepatan Gerakan,Aumento de Velocidade de Movimento,Бонус к скорости движения,移速提升
Item_Attributes_MaxHp,生命提升,Max HP Boost,Boost HP Maks,Aumento de PV Máx.,Бонус к макс. ОЗ,生命提升
Item_Attributes_AttackCrit,暴击率提升,Crit Boost,Boost Crit,Aumento de Crít,Бонус к крит. удару,暴擊率提升
Item_Artifact_Special_GoldAtkIncrease,黄金匕首,Golden Dagger,Belati Emas,Adaga Dourada,Золотой кинжал,黃金匕首
Item_Artifact_Special_GoldAddHp,黄金心脏,Golden Heart,Hati Emas,Coração Dourado,Золотое сердце,黃金心臟
Item_Artifact_Special_GoldIncrease,招财猫,Fortune Cat,Kucing Keberuntungan,Gato da Sorte,Кошка удачи,招財貓
Item_Artifact_Special_MageCrit,法术暴击,Magic Crit,Crit Sihir,Crít Mágico,Магический крит. удар,法術暴擊
Item_Artifact_Special_MageAttackEffect,法术联动,Magic Artifact,Artefak Sihir,Artefato Mágico,Волшебный артефакт,法術聯動
Item_Attributes_Treatment,治愈能源,Healing Energy,Energi Penyembuhan,Energia Curadora,Целительная энергия,治癒能源
Item_Artifact_SkillCDScale,冷静沙漏,Accelerated Hourglass,Jam Pasir Percepatan,Ampulheta Acelerada,Ускоренные песочные часы,冷靜沙漏
Item_Artifact_FullHp_CertainCrit,满血暴击,Crit on Max HP,Crit saat HP Maks,Crít com PV Máx.,Крит. при макс. ОЗ,滿血暴擊
Item_Artifact_Special_MetalBody,健壮身躯,Strong Body,Tubuh Kuat,Corpo Forte,Сильное тело,健壯身軀
Item_OrbAbility_OrbSpeed,法球加速,Orb Acceleration,Akselerasi Orb,Aceleração de Orbe,Ускорение сфер,法球加速
Item_Artifact_Special_Revive,重生蘑菇,Reviving Mushroom,Jamur Pembangkit,Cogumelo de Ressuscitação,Оживляющий гриб,重生蘑菇
Item_Artifact_Special_MonsterDmgOnSpawn,残心诅咒,Evil Curse,Kutukan Jahat,Maldição Maligna,Злое проклятье,殘心詛咒
Item_Retinue_ThunderCloud,雷云,Lightning Cloud,Awan Petir,Nuvem de Relâmpagos,Облако молний,雷雲
Item_Retinue_BlackHole,黑洞,Black Hole,Lubang Hitam,Buraco Negro,Черная дыра,黑洞
Item_Artifact_FireFlyGuard,萤火巢穴,Firefly Nest,Sarang Kunang-kunang,Ninho de Vagalumes,Гнездо светлячков,螢火巢穴
Item_Artifact_Guard_ShieldGuard,护盾领域,Shield Realm,Alam Perisai,Reino do Escudo,Царство щитов,護盾領域
Item_Artifact_Attributes_AtkSpUpAndAtkDown,锋利刀锋,Light Blade,Parang Cahaya,Lâmina de Luz,Клинок света,鋒利刀鋒
Item_Artifact_Attributes_AtkUpAndAtkSpDown,厚重刀锋,Heavy Blade,Parang Berat,Lâmina Pesada,Тяжелый клинок,厚重刀鋒
Item_Prop_Heal,治疗药水,Healing Potion,Ramuan Penyembuhan,Poção de cura,Зелье исцеления,治療藥水
Item_Prop_AttackEnhance,狂暴药水,Frenzy Potion,Ramuan Kegilaan,Poção Berserker,Зелье бешенства,狂暴藥水
Item_Prop_SpeedEnhance,移速药水,Movement Speed Potion,Ramuan Kecepatan Gerakan,Poção de Velocidade de Movimento,Зелье скорости движения,移速藥水
Item_Prop_Invincible,无敌药水,Potion of Invulnerability,Ramuan Kekebalan,Poção de Invulnerabilidade,Зелье неуязвимости,無敵藥水
Item_Prop_AOEFire,爆炸炸弹,Explosive Bomb,Bom Peledak,Bomba Explosiva,Разрывная бомба,爆炸炸彈
Item_Prop_AOEIce,冰冻炸弹,Freezing Bomb,Bom Beku,Bomba Congelante,Замораживающая бомба,冰凍炸彈
Item_Prop_Bomb_ThornArea,荆棘区域,Thorny Bomb,Bom Duri,Bomba Espinhosa,Бомба шипов,荊棘區域
Item_Prop_Bomb_BlackHole,黑洞炸弹,Blackhole Bomb,Bom Lubang Hitam,Bomba de Buraco Negro,Бомба черной дыры,黑洞炸彈
Item_Orb_OrbOfFire_Des,生成环绕旋转的火焰法球,Generates a Fire Orb rotating around you.,Menghasilkan Orb Api yang mengelilingimu.,Gera um Orbe de Fogo que gira ao seu redor.,"Создает огненную сферу, которая вращается вокруг вас.",生成環繞旋轉的火焰法球
Item_Orb_OrbOfLight_Des,生成环绕旋转的光明法球,Generates a Light Orb rotating around you.,Menghasilkan Orb Cahaya yang mengelilingimu.,Gera um Orbe de Luz que gira ao seu redor.,"Создает сферу света, которая вращается вокруг вас.",生成環繞旋轉的光明法球
Item_Orb_OrbOfIce_Des,生成环绕旋转的寒冰法球,Generates an Ice Orb rotating around you.,Menghasilkan Orb Es yang mengelilingimu.,Gera um Orbe de Gelo que gira ao seu redor.,"Создает ледяную сферу, которая вращается вокруг вас.",生成環繞旋轉的寒冰法球
Item_Orb_OrbOfThunder_Des,生成环绕旋转的闪电法球,Generates a Lightning Orb rotating around you.,Menghasilkan Orb Petir yang mengelilingimu.,Gera um Orbe de Relâmpagos que gira ao seu redor.,"Создает сферу молний, которая вращается вокруг вас.",生成環繞旋轉的閃電法球
Item_Orb_OrbOfThorn_Des,生成环绕旋转的荆棘法球,Generates a Thorn Orb rotating around you.,Menghasilkan Orb Duri yang mengelilingimu.,Gera um Orbe de Espinhos que gira ao seu redor.,"Создает сферу шипов, которая вращается вокруг вас.",生成環繞旋轉的荊棘法球
Item_Artifact_Armor_IceArmor_Des,寒冷周围敌人，受击寒冰爆发,Freezes surrounding enemies when getting hit.,Membekukan musuh di sekeliling ketika terkena.,Congela inimigos nos arredores ao ser acertado.,Замораживает окружающих врагов при получении удара.,寒冷周圍敵人，受擊寒冰爆發
Item_Artifact_Armor_Gold_Des,受击生成金币,Generates Gold when getting hit.,Menghasilkan Emas ketika terkena.,Gera Ouro ao ser acertado.,Создает золото при получении удара.,受擊生成金幣
Item_Artifact_Armor_LightArmor_Des,灼伤周围敌人，受击光弹爆发,Burns surrounding enemies when getting hit.,Membakar musuh di sekeliling ketika terkena.,Queima inimigos nos arredores ao ser acertado.,Обжигает окружающих врагов при получении удара.,灼傷周圍敵人，受擊光彈爆發
Item_Artifact_Armor_FireArmor_Des,点燃周围敌人，受击火焰爆发,Ignites when getting hit.,Menyala ketika terkena.,Incendeia ao ser acertado.,Загорается при получении удара.,點燃周圍敵人，受擊火焰爆發
Item_Artifact_Armor_Thunder_Des,电击最近的敌人，受击降下轰雷,Strikes surrounding enemies with lightning when getting hit.,Menyambar musuh di sekeliling dengan petir ketika terkena.,Atinge os inimigos nos arredores com relâmpagos ao ser acertado.,При получении удара поражает окружающих врагов ударами молний.,電擊最近的敵人，受擊降下轟雷
Item_Artifact_Armor_FireFly_Des,不断生成萤火，受击生成大量萤火,Generates fireflies when getting hit.,Menghasilkan kunang-kunang ketika terkena.,Gera vaga-lumes ao ser acertado.,Создает светлячков при получении удара.,不斷生成螢火，受擊生成大量螢火
Item_Artifact_Armor_Thorn_Des,受击后攻击者受到成倍伤害反弹,Reflects double damage back at the attacker when getting hit.,Memantulkan damage ganda pada penyerang ketika terkena.,Reflete o dobro de dano de volta contra o agressor ao ser acertado.,При получении удара отражает удвоенный урон в атакующего.,受擊後攻擊者受到成倍傷害反彈
Item_Artifact_Armor_Shield_Des,每隔一段时间抵挡一次伤害,Blocks incoming damage every once in a while.,Memblokir damage yang datang sesekali.,Bloqueia o dano sofrido de vez em quando.,Время от времени блокирует поступающий урон.,每隔一段時間抵擋一次傷害
Item_Artifact_FootPrint_Fire_Des,移动生成火焰路径,Moving leaves behind a fire trail.,Bergerak meninggalkan jejak api.,Mover-se deixa um rastro de fogo.,При движении оставляет за собой огненный след.,移動生成火焰路徑
Item_Artifact_FootPrint_Bomb_Des,移动生成会爆炸的光弹,Moving leaves behind explosive light orbs.,Bergerak meninggalkan orb cahaya peledak.,Mover-se deixa orbes de luz explosivos para trás.,При движении оставляет за собой взрывающиеся сферы света.,移動生成會爆炸的光彈
Item_Artifact_FootPrint_Spike_Des,移动生成荆棘路径,Moving leaves behind a thorny trail.,Bergerak meninggalkan jejak duri.,Mover-se deixa um rastro de espinhos.,При движении оставляет за собой след из шипов.,移動生成荊棘路徑
Item_Artifact_FootPrint_Icy_Des,移动生成寒冰路径,Moving leaves behind an ice trail.,Bergerak meninggalkan jejak es.,Mover-se deixa um rastro de gelo.,При движении оставляет за собой ледяной след.,移動生成寒冰路徑
Item_Artifact_Kill_Thorn_Des,击杀敌人后生成大片荆棘,Generates thorns after killing an enemy.,Menghasilkan duri setelah membunuh musuh.,Gera espinhos ao abater um inimigo.,Создает шипы после убийства врага.,擊殺敵人後生成大片荊棘
Item_Artifact_Kill_FireFly_Des,击杀敌人后生成大量萤火,Generates fireflies after killing an enemy.,Menghasilkan kunang-kunang setelah membunuh musuh.,Gera vaga-lumes ao abater de um inimigo.,Создает светлячков после убийства врага.,擊殺敵人後生成大量螢火
Item_Artifact_Kill_ExpFire_Des,击杀敌人后触发火焰爆发,Generates fire after killing an enemy.,Menghasilkan api setelah membunuh musuh.,Gera fogo ao abater um inimigo.,Создает огонь после убийства врага.,擊殺敵人後觸發火焰爆發
Item_Artifact_Kill_ReduceCD_Des,击杀敌人后减少技能冷却,Reduces skill cooldown after killing an enemy.,Mengurangi cooldown skill setelah membunuh musuh.,Reduz a recarga de habilidades ao abater um inimigo.,Ускоряет восстановление навыков после убийства врага.,擊殺敵人後减少技能冷卻
Item_Artifact_Kill_ExpFrozen_Des,击杀敌人后触发寒冰爆发,Generates ice after killing an enemy.,Menghasilkan es setelah membunuh musuh.,Gera gelo ao abater um inimigo.,Создает лед после убийства врага.,擊殺敵人後觸發寒冰爆發
Item_Artifact_Kill_Recover_Des,击杀敌人后恢复生命值,Restores HP after killing an enemy.,Memulihkan HP setelah membunuh musuh.,Restaura PV ao abater um inimigo.,Восстанавливает ОЗ после убийства врага.,擊殺敵人後恢復生命值
Item_Artifact_Attack_Fire_Des,攻击有概率点燃敌人,Attacks have a chance to ignite enemies.,Serangan memiliki peluang membakar musuh.,Ataques têm chance de incendiar os inimigos.,Атаки имеют шанс поджечь врагов.,攻擊有概率點燃敵人
Item_Artifact_Attack_Blood_Des,生命上限减少，攻击吸血,Reduces Max HP; attacks converts damage done into HP.,Mengurangi HP Maks; serangan mengubah damage yang ditimbulkan menjadi HP.,Reduz PV Máx.; ataques convertem dano infligido em PV.,Снижает макс. ОЗ; атаки превращают в ОЗ нанесенный урон.,生命上限减少，攻擊吸血
Item_Artifact_Attack_Ice_Des,攻击有概率使敌人寒冷,Attacks have a chance to freeze enemies.,Serangan memiliki peluang membekukan musuh.,Ataques têm chance de congelar os inimigos.,Атаки имеют шанс заморозить врагов.,攻擊有概率使敵人寒冷
Item_Artifact_Attack_FireFly_Des,攻击制造萤火,Attacks generate fireflies.,Serangan menghasilkan kunang-kunang.,Ataques geram vaga-lumes.,Атаки создают светлячков.,攻擊製造螢火
Item_Artifact_Attack_Thunder_Des,攻击有概率触发闪电链,Attacks have a chance to trigger a lightning chain.,Serangan memiliki peluang memicu rantai petir.,Os ataques têm chance de acionar uma cadeia de relâmpagos.,Атаки с некоторой вероятностью вызывают цепную молнию.,攻擊有概率觸發閃電鏈
Item_Artifact_Attack_Curse_Des,攻击有概率给敌人施加诅咒,Attacks have a chance to curse enemies.,Serangan memiliki peluang mengutuk musuh.,Ataques têm chance de amaldiçoar os inimigos.,Атаки имеют шанс проклясть врагов.,攻擊有概率給敵人施加詛咒
Item_Artifact_Attack_Wave_Des,攻击有概率产生风刃,Attacks have a chance to trigger a wind blade.,Serangan memiliki peluang memicu parang angin.,Ataques têm chance de acionar uma lâmina de vento.,Атаки с некоторой вероятностью вызывают клинок ветра.,攻擊有概率產生風刃
Item_Artifact_Beam_ThunderBeam_Des,攻击有概率召唤轰雷,Attacks have a chance to summon a thunderbolt.,Serangan memiliki peluang memanggil guntur.,Ataques têm chance de invocar um raio.,Атаки с некоторой вероятностью призывают громовой разряд.,攻擊有概率召喚轟雷
Item_Artifact_Beam_FireBeam_Des,攻击有概率召唤火凤凰,Attacks have a chance to summon a fire phoenix.,Serangan memiliki peluang memanggil phoenix api.,Ataques têm chance de invocar uma fênix de fogo.,Атаки с некоторой вероятностью призывают огненного феникса.,攻擊有概率召喚火鳳凰
Item_Artifact_Beam_IceBeam_Des,攻击有概率召唤龙卷风,Attacks have a chance to summon a tornado.,Serangan memiliki peluang memanggil tornado.,Ataques têm chance de invocar um tornado.,Атаки с некоторой вероятностью призывают торнадо.,攻擊有概率召喚龍捲風
Item_Artifact_Evade_Thunder_Des,位移时召唤雷电,Summons lightning when moving.,Memanggil petir ketika bergerak.,Invoca relâmpagos ao mover-se.,Призывает молнии при движении.,位移時召喚雷電
Item_Artifact_Evade_FireFly_Des,位移时召唤大量萤火,Summons fireflies when moving.,Memanggil kunang-kunang ketika bergerak.,Invoca vaga-lumes ao mover-se.,Призывает светлячков при движении.,位移時召喚大量螢火
Item_Artifact_Evade_Freeze_Des,位移时触发寒冰爆发,Generates ice when moving.,Menghasilkan es ketika bergerak.,Gera gelo ao mover-se.,Создает лед при ходьбе.,位移時觸發寒冰爆發
Item_Artifact_AttackCrit_Bleeding_Des,暴击会让敌人流血易伤,Critical strikes bleed enemies.,Sambaran kritikal membuat musuh berdarah.,Golpes de relâmpagos sangram os inimigos.,Критические удары вызывают кровотечение у врагов.,暴擊會讓敵人流血易傷
Item_Artifact_AttackCrit_DamageUp_Des,暴击伤害提高,Increases damage done when landing a critical strike.,Meningkatkan damage yang ditimbulkan ketika mendaratkan sambaran kritikal.,Aumenta o dano infligido ao acertar um golpe crítico.,Повышает урон от нанесенных критических ударов.,暴擊傷害提高
Item_Artifact_AttackCrit_RefreshCD_Des,暴击减少技能冷却,Critical strikes reduce skill cooldown.,Sambaran kritikal mengurangi cooldown skill.,Golpes críticos reduzem a recarga de habilidades.,Критические удары ускоряют восстановление навыков.,暴擊减少技能冷卻
Item_Attributes_Attack_Des,提升攻击力,Increases ATK.,Meningkatkan ATK.,Aumenta o ATQ.,Увеличивает атаку.,提升攻擊力
Item_Attributes_AttackSpeed_Des,提升攻击速度,Increases ATK Speed.,Meningkatkan Kecepatan ATK.,Aumenta a Velocidade de ATQ.,Увеличивает скорость атаки.,提升攻擊速度
Item_Attributes_MoveSpeed_Des,提升移动速度,Increases Movement Speed.,Meningkatkan Kecepatan Gerakan.,Aumenta a Velocidade de Movimento.,Увеличивает скорость движения.,提升移動速度
Item_Attributes_MaxHp_Des,提升生命值,Increases HP.,Meningkatkan HP.,Aumenta os PV.,Увеличивает ОЗ.,提升生命值
Item_Attributes_AttackCrit_Des,提升暴击率,Increases Crit Chance.,Meningkatkan Peluang Crit.,Aumenta a Chance de Crít.,Увеличивает шанс крит. удара.,提升暴擊率
Item_Artifact_Special_GoldAtkIncrease_Des,金钱越多攻击力越高,ATK increases as the amount of Gold increases.,ATK meningkat seiring peningkatan jumlah Emas.,O ATQ aumenta à medida que a quantidade de Ouro aumenta.,Атака растет с увеличением количества золота.,金錢越多攻擊力越高
Item_Artifact_Special_GoldAddHp_Des,金钱变化时生命值随之变化,HP changes according to the amount of Gold.,HP berubah sesuai dengan jumlah Emas.,Os PV mudam de acordo com a quantidade de Ouro.,ОЗ меняется в зависимости от числа золота.,金錢變化時生命值隨之變化
Item_Artifact_Special_GoldIncrease_Des,能够获取更多金币,Allows you to earn more Gold.,Memungkinkan kamu mendapatkan lebih banyak Emas.,Permite que você ganhe mais Ouro.,Позволяет вам заработать больше золота.,能够獲取更多金幣
Item_Artifact_Special_MageCrit_Des,法术伤害能够暴击,Magic attacks land critical strikes.,Serangan sihir memberi sambaran kritikal.,Ataques mágicos infligem golpes críticos.,Магические атаки наносят критические удары.,法術傷害能够暴擊
Item_Artifact_Special_MageAttackEffect_Des,法术伤害能够触发攻击道具效果,Magic attacks trigger effects of offensive artifacts.,Serangan sihir memicu efek artefak ofensif.,Ataques mágicos acionam efeitos de artefatos ofensivos.,Магические атаки вызывают срабатывание эффектов атакующих артефактов.,法術傷害能够觸發攻擊道具效果
Item_Attributes_Treatment_Des,进入房间时恢复生命值,Restores HP upon entering a new room.,Memulihkan HP saat memasuki ruangan baru.,Restaura PV ao entrar em uma nova sala.,Восстанавливает ОЗ при заходе в новую комнату.,進入房間時恢復生命值
Item_Artifact_SkillCDScale_Des,技能冷却时间更短,Reduces skill cooldown.,Mengurangi cooldown skill.,Reduz a recarga de habilidades.,Ускоряет восстановление навыков.,技能冷卻時間更短
Item_Artifact_FullHp_CertainCrit_Des,攻击满血敌人必定暴击,Guaranteed critical strikes if enemies have full HP.,Jaminan sambaran kritikal jika musuh memiliki HP penuh.,Golpes críticos garantidos se os inimigos estivem com os PV cheios.,"Гарантия критических ударов, когда у врага полные ОЗ.",攻擊滿血敵人必定暴擊
Item_Artifact_Special_MetalBody_Des,玩家不会被打出硬直,Grants you immunity against hit stun.,Memberimu kekebalan dari pukulan tegun.,Imuniza você contra atordoamento por acerto.,Дает вам иммунитет к оглушению.,玩家不會被打出硬直
Item_OrbAbility_OrbSpeed_Des,加快法球的旋转速度,Makes orbs rotate faster.,Membuat orb berputar lebih cepat.,Acelera a rotação dos orbes.,Сферы вращаются быстрее.,加快法球的旋轉速度
Item_Artifact_Special_Revive_Des,死亡后复活一次,Revives you one time.,Membangkitkanmu satu kali.,Ressuscita você uma vez.,Воскрешает вас один раз.,死亡後復活一次
Item_Artifact_Special_MonsterDmgOnSpawn_Des,敌人初始生命值减少,Reduces enemies' initial HP.,Mengurangi HP awal musuh.,Reduz os PV iniciais dos inimigos.,Снижает начальные ОЗ врага.,敵人初始生命值减少
Item_Retinue_ThunderCloud_Des,召唤一朵可放电的雷云,Summons a lightning cloud.,Memanggil awan petir.,Invoca uma nuvem de relâmpagos,Призывает облако молний.,召喚一朵可放電的雷雲
Item_Retinue_BlackHole_Des,召唤一个黑洞,Summons a black hole.,Memanggil lubang hitam.,Invoca um buraco negro.,Призывает черную дыру.,召喚一個黑洞
Item_Artifact_FireFlyGuard_Des,召唤一个萤火巢穴,Summons a firefly nest.,Memanggil sarang kunang-kunang.,Invoca um ninho de vaga-lumes.,Призывает гнездо светлячков.,召喚一個螢火巢穴
Item_Artifact_Guard_ShieldGuard_Des,召唤一个护盾守卫,Summons a shielded guard.,Memanggil pelindung berperisai.,Invoca um guarda com escudo.,Призывает защищенного щитом стража.,召喚一個護盾守衛
Item_Artifact_Attributes_AtkSpUpAndAtkDown_Des,攻击速度大幅提升，攻击下降。,Greatly increases ATK Speed; reduces ATK.,Meningkatkan Kecepatan ATK secara signifikan; mengurangi ATK.,Aumenta muito a Velocidade de ATQ; reduz o ATQ.,"Значительно увеличивает скорость атаки, но снижает силу атаки.",攻擊速度大幅提升，攻擊下降。
Item_Artifact_Attributes_AtkUpAndAtkSpDown_Des,攻击力大幅提升，攻速下降。,Greatly increases ATK; reduces ATK Speed.,Meningkatkan ATK secara signifikan; mengurangi Kecepatan ATK.,Aumenta muito o ATQ; reduz a Velocidade de ATQ.,"Значительно увеличивает атаку, но снижает скорость атаки.",攻擊力大幅提升，攻速下降。
Item_Prop_Heal_Des,喝药恢复生命值,Restores your HP.,Memulihkan HPmu.,Restaura os seus PV.,Восстанавливает ОЗ.,喝藥恢復生命值
Item_Prop_AttackEnhance_Des,短时间内提升攻击力和攻击速度,Temporarily increases ATK and ATK Speed.,Sementara meningkatkan ATK dan Kecepatan ATK.,Aumenta temporariamente o ATQ e a Velocidade de ATQ.,Временно увеличивает атаку и скорость атаки.,短時間內提升攻擊力和攻擊速度
Item_Prop_SpeedEnhance_Des,短时间内提升移速,Temporarily increases Movement Speed.,Sementara meningkatkan Kecepatan Gerakan.,Aumenta temporariamente a Velocidade de Movimento.,Временно увеличивает скорость движения.,短時間內提升移速
Item_Prop_Invincible_Des,短时间内无敌,Temporarily grants you invulnerability.,Sementara memberimu kekebalan.,Concede invencibilidade temporária a você.,Временно дает вам неуязвимость.,短時間內無敵
Item_Prop_AOEFire_Des,丢出一个炸弹,Throws a bomb.,Melemparkan bom.,Lança uma bomba.,Бросить бомбу.,丟出一個炸彈
Item_Prop_AOEIce_Des,丢出一个冰冻炸弹,Throws a freezing bomb.,Melemparkan bom beku.,Lança uma bomba congelante.,Бросить замораживающую бомбу.,丟出一個冰凍炸彈
Item_Prop_Bomb_ThornArea_Des,丢出一个荆棘炸弹,Throws a thorny bomb.,Melemparkan bom duri.,Lança uma bomba espinhosa.,Бросить бомбу с шипами.,丟出一個荊棘炸彈
Item_Prop_Bomb_BlackHole_Des,丢出一个黑洞炸弹,Throws a blackhole bomb.,Melemparkan bom lubang hitam.,Lança uma bomba de buraco negro.,Бросить бомбу черной дыры.,丟出一個黑洞炸彈
Enemy_Skeleton_ZombieRed,红骷髅人,Red Skeleton,Tengkorak Merah,Esqueleto Vermelho,Красный скелет,紅骷髏人
Enemy_Skeleton_ZombieBlue,蓝骷髅人,Blue Skeleton,Tengkorak Biru,Esqueleto Azul,Синий скелет,藍骷髏人
Enemy_Skeleton_Wheel,骷髅车轮,Skeleton Wheel,Roda Tengkorak,Roda Esquelética,Скелет-колесо,骷髏車輪
Enemy_Skeleton_Coffin,鬼棺,Ghost Coffin,Peti Mati Hantu,Caixão Fantasmagórico,Призрачный гроб,鬼棺
Enemy_Skeleton_Ghost,亡灵,Undead,Mayat Hidup,Morto-vivo,Нежить,亡靈
Enemy_Skeleton_Archer,骷髅弩手,Skeleton Arbalist,Tengkorak Arbalesta,Arcobalista Esquelética,Скелет-арбалетчик,骷髏弩手
Enemy_Skeleton_ExplosionSelf,骷髅爆破桶,Explosive Skeleton,Tengkorak Peledak,Esqueleto Explosivo,Взрывной скелет,骷髏爆破桶
